25,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0.25,0.312079,1.43749,-1.64046,1,2.72537,1.55945,1.13701,1.17103,1.23654,1.64912,1.20686,0.25,-1.33875,1,1.19479,1.22313,0.25,-0.78299,1.18096,1.21679,1.69369,1.30931,0.25,
26,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0.322487,1.15355,1.23095,1.15094,1.19191,1.19902,1.1366,1.53984,1,1,1.61357,1.23607,1,1.11863,1,1.27339,1.25029,1.33874,1.13241,1.35404,1.24769,1.54447,1.1449,1.50842,
27,24,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,29,1.10894,0.25,1.16824,1.48094,1.23981,1.39599,1,0.474491,1.19856,1.46572,1.11841,1.17653,1.69725,1.22654,1.48019,2.03698,1,1,1.29448,1.42673,1,1.22585,0.968672,1.40826,
28,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1.22162,2.87234,-1.45204,1.28867,1,1.52321,0.25,1.19503,1.47884,1.22884,1.26318,1.32783,1.13757,-2.5402,1,1,1.26108,1.15169,1.81001,1.59691,1.59402,1.76307,1,1.26735,
29,1,14,1,
END,
25,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1.224,1.43424,1,1.1776,1,1.54357,-0.416547,1.20481,1.44615,1.19478,0.25,1.16982,1.20917,1,1.68119,1.24483,1.20233,1.46786,1,1.42044,1.11994,1.80113,2.17937,1.22553,
26,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1.5,3.14702,1.26006,1.19512,1.33782,1.18774,1.15442,0.25,1.87491,0.25,1,1,0.25,1.84922,1.49707,1.39925,2.11893,1.49886,1.26981,1.19286,1,1.96719,1.16088,1,
27,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1.2934,1.54441,1.39801,-1.51522,1.10635,1,1.65225,1.11247,1.24341,1.43647,1.58532,0.25,1.23618,1.29351,1.20469,1.86627,1.24174,1,0.25,1.1704,1.27416,1.67002,-0.877427,1.22488,
28,24,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,-0.551811,1.81534,1,1.15861,1.6962,1,0.915,1.57051,1,2.4097,1,1,1.37815,0.293568,1.12458,0.304482,1.37294,1.28056,1.47039,-2.24973,1.15555,1.79105,0.25,2.15587,
